work_year,experience_level,employment_type,job_title,salary,salary_currency,company_location,company_size
2023,EN,FT,AI Developer,80000,USD,SE,M
2023,EN,FT,Research Scientist,150000,USD,US,M
2023,EN,FT,Research Scientist,100000,USD,US,M
2023,EN,FT,Data Analyst,75000,USD,US,M
2023,EN,FT,Data Analyst,60000,USD,US,M
2023,EN,FT,Data Engineer,125000,USD,US,M
2023,EN,FT,Data Engineer,90000,USD,US,M
2023,EN,FT,AI Developer,200000,EUR,DE,L
2023,EN,FT,Data Analyst,100000,USD,US,L
2023,EN,FT,Data Analyst,150000,USD,US,M
2023,EN,FT,Data Analyst,100000,USD,US,M
2023,EN,FT,Research Scientist,150000,USD,US,M
2023,EN,FT,Research Scientist,100000,USD,US,M
2023,EN,FT,Data Analyst,85000,USD,US,M
2023,EN,FT,Data Analyst,75000,USD,US,M
2023,EN,FT,Data Analyst,30000,USD,IN,M
2023,EN,FT,Computer Vision Engineer,220000,USD,US,M
2023,EN,FT,AI Developer,60000,EUR,DE,M
2023,EN,FT,Data Analyst,55000,USD,US,M
2023,EN,FT,Data Analyst,48000,USD,US,M
2023,EN,PT,Data Analyst,78000,PLN,IN,L
2023,EN,FT,Data Scientist,101400,BRL,BR,L
2023,EN,FT,Data Analyst,75000,USD,US,M
2023,EN,FT,Data Analyst,60000,USD,US,M
2023,EN,FT,Research Engineer,120000,USD,GB,M
2023,EN,FT,Research Engineer,60000,USD,GB,M
2023,EN,FT,Data Analyst,60000,USD,US,L
2023,EN,FT,Data Analyst,50000,USD,US,L
2023,EN,FT,Data Scientist,800000,INR,IN,L
2023,EN,FT,Data Analyst,85000,USD,US,M
2023,EN,FT,Data Analyst,75000,USD,US,M
2023,EN,FT,Data Engineer,12000,USD,VN,L
2023,EN,FT,Data Analyst,55000,USD,US,M
2023,EN,FT,Data Analyst,48000,USD,US,M
2023,EN,FT,Data Analyst,100000,USD,US,M
2023,EN,FT,Data Scientist,110000,USD,US,S
2023,EN,FT,Data Scientist,1050000,INR,IN,L
2023,EN,FT,Data Engineer,25000,EUR,DE,L
2023,EN,FT,BI Developer,160000,USD,US,M
2023,EN,FT,BI Developer,100000,USD,US,M
2023,EN,FT,Big Data Engineer,130000,USD,SE,S
2023,EN,FT,Data Engineer,160000,USD,US,M
2023,EN,FT,Data Engineer,135000,USD,US,M
2023,EN,FT,Data Analyst,30000,USD,US,S
2023,EN,FT,Data Scientist,124234,USD,US,M
2023,EN,FT,Data Scientist,74540,USD,US,M
2023,EN,FT,Data Scientist,1060000,INR,IN,S
2023,EN,FT,AI Developer,120000,USD,BA,S
2023,EN,FT,Business Data Analyst,12000,EUR,GR,L
2023,EN,FT,Data Engineer,160000,USD,US,M
2023,EN,FT,Data Engineer,135000,USD,US,M
2023,EN,FT,Data Scientist,50000,USD,US,M
2023,EN,FT,Data Engineer,160000,USD,US,M
2023,EN,FT,Data Engineer,135000,USD,US,M
2023,EN,FT,Research Engineer,160000,USD,US,M
2023,EN,FT,Research Engineer,120000,USD,US,M
2023,EN,FT,Deep Learning Engineer,150000,USD,US,M
2023,EN,FT,Deep Learning Engineer,120000,USD,US,M
2023,EN,FT,Data Engineer,160000,USD,US,M
2023,EN,FT,Data Engineer,135000,USD,US,M
2023,EX,FT,Data Scientist,258750,USD,US,M
2023,EX,FT,Data Scientist,185000,USD,US,M
2023,EX,FT,Data Engineer,220000,USD,US,M
2023,EX,FT,Data Engineer,205000,USD,US,M
2023,EX,FT,Head of Data,329500,USD,US,M
2023,EX,FT,Head of Data,269600,USD,US,M
2023,EX,FT,Data Engineer,145000,USD,US,M
2023,EX,FT,Data Engineer,115000,USD,US,M
2023,EX,FT,Data Engineer,175000,USD,US,M
2023,EX,FT,Data Engineer,110000,USD,US,M
2023,EX,FT,Analytics Engineer,221000,USD,US,M
2023,EX,FT,Analytics Engineer,153000,USD,US,M
2023,EX,FT,Data Scientist,200000,USD,US,M
2023,EX,FT,Data Scientist,145000,USD,US,M
2023,EX,FT,Data Architect,180000,USD,US,M
2023,EX,FT,Data Architect,155000,USD,US,M
2023,EX,FT,Data Engineer,286000,USD,US,M
2023,EX,FT,Data Engineer,207000,USD,US,M
2023,EX,FT,Director of Data Science,353200,USD,US,M
2023,EX,FT,Director of Data Science,249300,USD,US,M
2023,EX,FT,Data Scientist,145000,USD,US,M
2023,EX,FT,Data Scientist,100000,USD,US,M
2023,EX,FT,Data Engineer,265000,USD,US,M
2023,EX,FT,Data Engineer,235000,USD,US,M
2023,EX,FT,Data Engineer,194500,USD,US,M
2023,EX,FT,Data Engineer,115500,USD,US,M
2023,EX,FT,Data Scientist,200000,USD,US,M
2023,EX,FT,Data Scientist,145000,USD,US,M
2023,EX,FT,Data Engineer,210914,USD,US,M
2023,EX,FT,Data Engineer,116704,USD,US,M
2023,EX,FT,Data Engineer,167500,USD,US,M
2023,EX,FT,Data Engineer,106500,USD,US,M
2023,EX,FT,Data Engineer,310000,USD,US,M
2023,EX,FT,Data Engineer,239000,USD,US,M
2023,EX,FT,Data Engineer,310000,USD,US,M
2023,EX,FT,Data Engineer,239000,USD,US,M
2023,EX,FT,Head of Data Science,131899,GBP,GB,M
2023,EX,FT,Head of Data Science,104891,GBP,GB,M
2023,EX,FT,Data Engineer,310000,USD,US,M
2023,EX,FT,Data Engineer,239000,USD,US,M
2023,EX,FT,Data Engineer,235000,USD,US,M
2023,EX,FT,Data Engineer,210000,USD,US,M
2023,EX,FT,Data Engineer,210914,USD,US,M
2023,EX,FT,Data Engineer,116704,USD,US,M
2023,EX,FT,Data Engineer,284000,USD,US,M
2023,EX,FT,Data Engineer,236000,USD,US,M
2023,EX,FT,Data Analytics Manager,155000,USD,US,M
2023,EX,FT,Data Analytics Manager,140000,USD,US,M
2023,EX,FT,Data Engineer,175000,USD,US,M
2023,EX,FT,Data Engineer,110000,USD,US,M
2023,EX,FT,Head of Data Science,314100,USD,US,M
2023,EX,FT,Head of Data Science,195800,USD,US,M
2023,EX,FT,Data Engineer,200000,USD,US,M
2023,EX,FT,Data Engineer,145000,USD,US,M
2023,EX,FT,Data Engineer,310000,USD,US,M
2023,EX,FT,Data Engineer,239000,USD,US,M
2023,EX,FT,Data Scientist,300000,USD,US,M
2023,EX,FT,Data Scientist,200000,USD,US,M
2023,EX,FT,Data Engineer,196200,USD,US,M
2023,EX,FT,Data Engineer,150900,USD,US,M
2023,MI,CT,ML Engineer,30000,USD,US,S
2023,MI,CT,ML Engineer,25500,USD,US,S
2023,MI,FT,Data Analyst,150000,USD,US,M
2023,MI,FT,Data Analyst,110000,USD,US,M
2023,MI,FT,Data Engineer,162500,USD,US,M
2023,MI,FT,Data Engineer,130000,USD,US,M
2023,MI,FT,Data Analyst,105380,USD,US,M
2023,MI,FT,Data Analyst,64500,USD,US,M
2023,MI,FT,Data Scientist,510000,HKD,HK,L
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,DE,S
2023,MI,FT,Machine Learning Engineer,90000,EUR,NL,L
2023,MI,FT,Data Analytics Manager,155000,USD,US,M
2023,MI,FT,Data Analytics Manager,140000,USD,US,M
2023,MI,FT,Data Engineer,100000,USD,US,M
2023,MI,FT,Data Engineer,70000,USD,US,M
2023,MI,FT,Data Engineer,100000,USD,US,M
2023,MI,FT,Data Engineer,70000,USD,US,M
2023,MI,FT,Business Data Analyst,105000,USD,US,L
2023,MI,FT,Applied Data Scientist,1700000,INR,IN,L
2023,MI,FT,Data Analyst,38000,GBP,GB,M
2023,MI,FT,Data Analyst,35000,GBP,GB,M
2023,MI,FT,Data Engineer,162500,USD,US,M
2023,MI,FT,Data Engineer,130000,USD,US,M
2023,MI,FT,Data Scientist,55000,GBP,GB,M
2023,MI,FT,Data Scientist,45000,GBP,GB,M
2023,MI,FT,ETL Engineer,70000,GBP,GB,M
2023,MI,FT,ETL Engineer,47500,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,300000,USD,US,M
2023,MI,FT,Machine Learning Engineer,250000,USD,US,M
2023,MI,FT,Research Engineer,230000,USD,US,M
2023,MI,FT,Research Engineer,200000,USD,US,M
2023,MI,FT,Data Engineer,180000,USD,US,M
2023,MI,FT,Data Engineer,130000,USD,US,M
2023,MI,FT,AI Developer,100000,SGD,FI,M
2023,MI,FT,AI Developer,200000,USD,US,M
2023,MI,FT,Machine Learning Engineer,280700,USD,US,M
2023,MI,FT,Machine Learning Engineer,150450,USD,US,M
2023,MI,FT,Data Scientist,93918,USD,US,M
2023,MI,FT,Data Scientist,51962,USD,US,M
2023,MI,FT,Big Data Engineer,45000,EUR,ES,M
2023,MI,FT,Data Analyst,90000,USD,US,M
2023,MI,FT,Data Analyst,75000,USD,US,M
2023,MI,FT,Research Scientist,161200,GBP,GB,M
2023,MI,FT,Research Scientist,84570,GBP,GB,M
2023,MI,FT,Data Specialist,130000,USD,US,M
2023,MI,FT,Data Specialist,80000,USD,US,M
2023,MI,FT,Data Scientist,180000,USD,US,M
2023,MI,FT,Data Scientist,140000,USD,US,M
2023,MI,FT,Lead Data Analyst,68000,USD,US,L
2023,MI,FT,Data Engineer,125000,USD,US,M
2023,MI,FT,Data Engineer,90000,USD,US,M
2023,MI,FT,Data Manager,135000,USD,US,M
2023,MI,FT,Data Manager,120000,USD,US,M
2023,MI,FT,Data Analyst,182500,USD,US,M
2023,MI,FT,Data Analyst,101500,USD,US,M
2023,MI,FT,Data Analyst,90000,GBP,GB,M
2023,MI,FT,Data Analyst,121500,USD,US,M
2023,MI,FT,Data Analyst,60000,GBP,GB,M
2023,MI,FT,Data Analyst,45000,GBP,GB,M
2023,MI,FT,Data Architect,167500,USD,US,M
2023,MI,FT,Data Architect,106500,USD,US,M
2023,MI,FT,Data Engineer,146000,USD,US,M
2023,MI,FT,Data Engineer,75000,USD,US,M
2023,MI,FT,Machine Learning Scientist,230000,USD,US,M
2023,MI,FT,Machine Learning Scientist,220000,USD,US,M
2023,MI,FT,Research Scientist,210000,USD,US,M
2023,MI,FT,Research Scientist,151800,USD,US,M
2023,MI,FT,MLOps Engineer,134000,USD,US,L
2023,MI,FT,MLOps Engineer,124000,USD,US,L
2023,MI,FT,MLOps Engineer,134000,USD,US,M
2023,MI,FT,MLOps Engineer,124000,USD,US,M
2023,MI,FT,Data Architect,167500,USD,US,M
2023,MI,FT,Data Architect,106500,USD,US,M
2023,MI,FT,Machine Learning Engineer,135000,USD,US,L
2023,MI,FT,Data Engineer,143865,USD,US,M
2023,MI,FT,Data Engineer,115092,USD,US,M
2023,MI,FT,Machine Learning Engineer,130000,USD,US,M
2023,MI,FT,Machine Learning Engineer,90000,USD,US,M
2023,MI,FT,Data Engineer,149600,USD,US,M
2023,MI,FT,Data Engineer,102000,USD,US,M
2023,MI,FT,Data Scientist,90000,EUR,IE,M
2023,MI,FT,Data Scientist,75000,EUR,IE,M
2023,MI,FT,Data Analyst,128000,USD,US,M
2023,MI,FT,Data Analyst,85000,USD,US,M
2023,MI,FT,Data Engineer,151000,USD,US,M
2023,MI,FT,Data Engineer,140000,USD,US,M
2023,MI,FT,Data Analyst,154000,USD,US,M
2023,MI,FT,Data Analyst,143000,USD,US,M
2023,MI,FT,Data Scientist,65000,GBP,GB,M
2023,MI,FT,Data Scientist,42000,GBP,GB,M
2023,MI,FT,Data Scientist,70000,GBP,GB,M
2023,MI,FT,Data Scientist,42000,GBP,GB,M
2023,MI,FT,Data Scientist,90000,GBP,GB,M
2023,MI,FT,Data Scientist,60000,GBP,GB,M
2023,MI,FT,Data Engineer,75000,USD,US,M
2023,MI,FT,Data Engineer,60400,USD,US,M
2023,MI,FT,Data Scientist,56000,EUR,DE,M
2023,MI,FT,Data Analyst,83500,USD,US,M
2023,MI,FT,Data Analyst,52500,USD,US,M
2023,MI,FT,Data Engineer,90000,USD,US,M
2023,MI,FT,Data Engineer,90000,USD,US,M
2023,MI,FT,Data Engineer,145000,USD,US,M
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Analyst,206000,USD,US,M
2023,MI,FT,Data Analyst,130000,USD,US,M
2023,MI,FT,Data Analyst,160000,USD,US,M
2023,MI,FT,Data Analyst,112000,USD,US,M
2023,MI,FT,Data Engineer,162500,USD,US,M
2023,MI,FT,Data Engineer,130000,USD,US,M
2023,MI,FT,Data Scientist,145000,USD,US,M
2023,MI,FT,Data Scientist,100000,USD,US,M
2023,MI,FT,Data Scientist,145000,USD,US,M
2023,MI,FT,Data Scientist,100000,USD,US,M
2023,MI,FT,Data Analyst,100000,USD,US,M
2023,MI,FT,Data Analyst,85000,USD,US,M
2023,MI,FT,Data Engineer,70000,GBP,GB,M
2023,MI,FT,Data Engineer,47500,GBP,GB,M
2023,MI,FT,Data Engineer,140000,USD,US,M
2023,MI,FT,Data Engineer,95000,USD,US,M
2023,MI,FT,Financial Data Analyst,130000,USD,US,L
2023,MI,FT,Data Analyst,75000,USD,US,M
2023,MI,FT,Data Analyst,65000,USD,US,M
2023,MI,FT,ML Engineer,160000,USD,US,M
2023,MI,FT,ML Engineer,147000,USD,US,M
2023,MI,FT,Software Data Engineer,100000,SGD,SG,L
2023,MI,FT,Data Scientist,1400000,INR,IN,L
2023,MI,FT,Lead Data Analyst,1500000,INR,IN,L
2023,MI,FT,Machine Learning Engineer,250000,USD,US,M
2023,MI,FT,Machine Learning Engineer,150000,USD,US,M
2023,MI,FT,Analytics Engineer,185700,USD,US,M
2023,MI,FT,Analytics Engineer,165000,USD,US,M
2023,MI,FT,Data Scientist,55000,EUR,ES,M
2023,MI,FT,Data Scientist,45000,EUR,ES,M
2023,MI,FT,Data Engineer,70000,EUR,SI,M
2023,MI,FT,Data Engineer,45000,EUR,SI,M
2023,MI,FT,Data Scientist,128750,USD,US,M
2023,MI,FT,Data Scientist,106250,USD,US,M
2023,MI,FT,Data Analytics Manager,155000,USD,US,M
2023,MI,FT,Data Analytics Manager,140000,USD,US,M
2023,MI,FT,Data Analyst,130000,USD,CA,M
2023,MI,FT,Data Analyst,100000,USD,CA,M
2023,MI,FT,Data Science Manager,104500,USD,US,M
2023,MI,FT,Data Science Manager,70000,USD,US,M
2023,MI,FT,Data Science Consultant,90000,USD,US,M
2023,MI,FT,Data Science Consultant,70000,USD,US,M
2023,MI,FT,Research Scientist,185000,USD,US,M
2023,MI,FT,Research Scientist,125000,USD,US,M
2023,MI,FT,Data Scientist,200000,USD,US,M
2023,MI,FT,Data Scientist,150000,USD,US,M
2023,MI,FT,Data Engineer,72000,USD,MX,M
2023,MI,FT,Data Engineer,60000,USD,MX,M
2023,MI,FT,Data Engineer,260000,USD,US,M
2023,MI,FT,Data Engineer,175000,USD,US,M
2023,MI,FT,Research Scientist,340000,USD,US,M
2023,MI,FT,Research Scientist,150000,USD,US,M
2023,MI,FT,Data Engineer,250000,USD,US,M
2023,MI,FT,Data Engineer,175000,USD,US,M
2023,MI,FT,Data Scientist,60000,EUR,FR,M
2023,MI,FT,Data Engineer,146000,USD,US,M
2023,MI,FT,Data Engineer,75000,USD,US,M
2023,MI,FT,Data Engineer,149600,USD,US,M
2023,MI,FT,Data Engineer,102000,USD,US,M
2023,MI,FT,Data Analyst,80000,GBP,GB,M
2023,MI,FT,Data Analyst,40000,GBP,GB,M
2023,MI,FT,Data Engineer,145000,USD,US,M
2023,MI,FT,Data Engineer,125000,USD,US,M
2023,MI,FT,Data Scientist,150000,USD,US,M
2023,MI,FT,Data Scientist,97750,USD,US,M
2023,MI,FT,Data Scientist,116990,USD,US,M
2023,MI,FT,Data Scientist,82920,USD,US,M
2023,MI,FT,Machine Learning Scientist,200000,USD,US,S
2023,MI,FT,Machine Learning Scientist,125000,USD,US,S
2023,MI,FT,Machine Learning Infrastructure Engineer,205920,USD,US,M
2023,MI,FT,Machine Learning Infrastructure Engineer,171600,USD,US,M
2023,MI,FT,Data Engineer,154000,USD,US,M
2023,MI,FT,Data Engineer,116000,USD,US,M
2023,MI,FT,Data Analyst,65000,GBP,GB,M
2023,MI,FT,Data Analyst,36050,GBP,GB,M
2023,MI,FT,Data Engineer,200000,USD,US,M
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Engineer,105000,GBP,GB,M
2023,MI,FT,Data Engineer,85000,GBP,GB,M
2023,MI,FT,Data Analytics Manager,155000,USD,US,M
2023,MI,FT,Data Analytics Manager,140000,USD,US,M
2023,MI,FT,Research Scientist,185000,USD,US,M
2023,MI,FT,Research Scientist,125000,USD,US,M
2023,MI,FT,Machine Learning Engineer,200000,USD,US,M
2023,MI,FT,Machine Learning Engineer,175000,USD,US,M
2023,MI,FT,Data Scientist,40000,USD,FR,L
2023,MI,FT,Data Engineer,140000,USD,US,M
2023,MI,FT,Data Engineer,100000,USD,US,M
2023,MI,FT,Insight Analyst,42000,GBP,GB,M
2023,MI,FT,Insight Analyst,35000,GBP,GB,M
2023,MI,FT,Applied Machine Learning Engineer,130000,USD,US,M
2023,MI,FT,AI Scientist,36000,EUR,ES,L
2023,MI,FT,Deep Learning Engineer,150000,USD,US,M
2023,MI,FT,Deep Learning Engineer,100000,USD,US,M
2023,MI,FT,Data Engineer,95000,GBP,GB,L
2023,MI,FT,Data Infrastructure Engineer,190000,USD,US,M
2023,MI,FT,Data Infrastructure Engineer,160000,USD,US,M
2023,MI,FT,Data Infrastructure Engineer,190000,USD,US,M
2023,MI,FT,Data Infrastructure Engineer,183310,USD,US,M
2023,MI,FT,Machine Learning Engineer,148500,USD,US,M
2023,MI,FT,Machine Learning Engineer,126277,USD,US,M
2023,MI,FT,Data Analyst,80000,USD,US,M
2023,MI,FT,Data Analyst,60000,USD,US,M
2023,MI,FT,Data Engineer,140000,USD,US,M
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Analyst,90000,GBP,HR,M
2023,MI,FT,Data Analyst,60000,GBP,HR,M
2023,MI,FT,Data Engineer,125000,USD,US,M
2023,MI,FT,Data Engineer,90000,USD,US,M
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Engineer,90000,USD,US,M
2023,MI,FT,Data Science Lead,60000,GBP,GB,M
2023,MI,FT,Data Science Lead,50000,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,40000,GBP,GB,M
2023,MI,FT,Data Analyst,165000,USD,US,M
2023,MI,FT,Data Analyst,124000,USD,US,M
2023,MI,FT,Data Scientist,170000,USD,US,M
2023,MI,FT,Data Scientist,120000,USD,US,M
2023,MI,FT,Product Data Analyst,1350000,INR,IN,L
2023,MI,FT,Data Analyst,125000,USD,US,M
2023,MI,FT,Data Analyst,105000,USD,US,M
2023,MI,FT,Data Analyst,90000,GBP,GB,M
2023,MI,FT,Data Analyst,70000,GBP,GB,M
2023,MI,FT,Data Analyst,110000,USD,US,M
2023,MI,FT,Data Analyst,95000,USD,US,M
2023,MI,FT,Machine Learning Engineer,36000,USD,MX,S
2023,MI,FT,Machine Learning Engineer,100000,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,80000,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,120000,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,100000,GBP,GB,M
2023,MI,FT,Data Engineer,55000,GBP,GB,M
2023,MI,FT,Data Engineer,52000,GBP,GB,M
2023,MI,FT,Data Analyst,50000,GBP,GB,M
2023,MI,FT,Data Analyst,45000,GBP,GB,M
2023,MI,FT,Data Scientist,151410,USD,US,M
2023,MI,FT,Data Scientist,115360,USD,US,M
2023,MI,FT,Data Engineer,62000,EUR,ES,M
2023,MI,FT,Data Engineer,55000,EUR,ES,M
2023,MI,FT,Research Scientist,85000,USD,US,M
2023,MI,FT,Research Scientist,70000,USD,US,M
2023,MI,FT,Data Engineer,162500,USD,US,M
2023,MI,FT,Data Engineer,130000,USD,US,M
2023,MI,FT,Machine Learning Engineer,110000,USD,US,L
2023,MI,FT,Data Analyst,130000,USD,US,M
2023,MI,FT,Data Analyst,100000,USD,US,M
2023,MI,FT,Data Analyst,150000,USD,US,M
2023,MI,FT,Data Analyst,100000,USD,US,M
2023,MI,FT,Machine Learning Engineer,180000,USD,US,M
2023,MI,FT,Machine Learning Engineer,150000,USD,US,M
2023,MI,FT,Data Analyst,103200,USD,US,M
2023,MI,FT,Data Analyst,61200,USD,US,M
2023,MI,FT,Head of Data Science,5000000,INR,IN,L
2023,MI,FT,Data Science Manager,220000,USD,US,M
2023,MI,FT,Data Science Manager,195000,USD,US,M
2023,MI,FT,Data Analyst,206000,USD,US,M
2023,MI,FT,Data Analyst,160000,USD,US,M
2023,MI,FT,Data Analyst,109000,USD,US,M
2023,MI,FT,Data Analyst,79000,USD,US,M
2023,MI,FT,Machine Learning Engineer,50000,USD,AM,S
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Engineer,95000,USD,US,M
2023,MI,FT,Data Engineer,250000,USD,US,M
2023,MI,FT,Data Engineer,175000,USD,US,M
2023,MI,FT,Data Analyst,80000,USD,US,M
2023,MI,FT,Data Analyst,52500,USD,US,M
2023,MI,FT,Data Analyst,90000,USD,US,M
2023,MI,FT,Data Analyst,80000,USD,US,M
2023,MI,FT,Data Analyst,150000,USD,US,M
2023,MI,FT,Data Analyst,100000,USD,US,M
2023,MI,FT,Data Engineer,150000,USD,US,M
2023,MI,FT,Data Engineer,130000,USD,US,M
2023,MI,FT,Applied Data Scientist,80000,USD,KE,S
2023,MI,FT,Data Analytics Lead,1440000,INR,SG,M
2023,MI,FT,Data Scientist,50000,EUR,RO,L
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Engineer,95000,USD,US,M
2023,MI,FT,Data Analyst,120000,USD,US,M
2023,MI,FT,Data Analyst,100000,USD,US,M
2023,MI,FT,Data Scientist,183310,USD,US,M
2023,MI,FT,Data Scientist,183310,USD,US,M
2023,MI,FT,Data Scientist,840000,THB,TH,L
2023,MI,FT,Data Analyst,135000,USD,US,M
2023,MI,FT,Data Analyst,105500,USD,US,M
2023,MI,FT,Data Analyst,65000,GBP,GB,M
2023,MI,FT,Data Analyst,36050,GBP,GB,M
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Engineer,95000,USD,US,M
2023,MI,FT,Machine Learning Engineer,145000,USD,US,M
2023,MI,FT,Machine Learning Engineer,87000,USD,US,M
2023,MI,FT,Data Engineer,95000,USD,ES,M
2023,MI,FT,Data Engineer,80000,USD,ES,M
2023,MI,FT,Data Analyst,116000,USD,US,M
2023,MI,FT,Data Analyst,72000,USD,US,M
2023,MI,FT,Data Engineer,105000,USD,US,M
2023,MI,FT,Data Engineer,70000,USD,US,M
2023,MI,FT,Data Analyst,120000,USD,US,M
2023,MI,FT,Data Analyst,80000,USD,US,M
2023,MI,FT,Machine Learning Engineer,219000,USD,US,L
2023,MI,FT,Data Analyst,150000,USD,US,M
2023,MI,FT,Data Analyst,100000,USD,US,M
2023,MI,FT,Machine Learning Engineer,175000,USD,US,M
2023,MI,FT,Machine Learning Engineer,140000,USD,US,M
2023,MI,FT,Data Scientist,187500,USD,US,M
2023,MI,FT,Data Scientist,165000,USD,US,M
2023,MI,FT,Machine Learning Research Engineer,60000,GBP,GB,L
2023,MI,FT,Machine Learning Engineer,89700,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,55250,GBP,GB,M
2023,MI,FT,Research Engineer,120000,USD,US,M
2023,MI,FT,Research Engineer,100000,USD,US,M
2023,MI,FT,Data Engineer,120000,USD,US,M
2023,MI,FT,Data Engineer,100000,USD,US,M
2023,MI,FT,Data Scientist,120000,USD,US,M
2023,MI,FT,Data Scientist,105000,USD,US,M
2023,MI,FT,Machine Learning Engineer,62000,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,52000,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,48000,GBP,GB,M
2023,MI,FT,Machine Learning Engineer,38000,GBP,GB,M
2023,MI,FT,Data Analyst,150000,USD,US,M
2023,MI,FT,Data Analyst,100000,USD,US,M
2023,MI,FT,Data Scientist,130000,USD,US,M
2023,MI,FT,Data Scientist,90000,USD,US,M
2023,SE,FT,Principal Data Scientist,80000,EUR,ES,L
2023,SE,FT,Data Scientist,175000,USD,CA,M
2023,SE,FT,Data Scientist,120000,USD,CA,M
2023,SE,FT,Applied Scientist,222200,USD,US,L
2023,SE,FT,Applied Scientist,136000,USD,US,L
2023,SE,FT,Data Scientist,219000,USD,CA,M
2023,SE,FT,Data Scientist,141000,USD,CA,M
2023,SE,FT,Data Scientist,147100,USD,US,M
2023,SE,FT,Data Scientist,90700,USD,US,M
2023,SE,FT,Data Analyst,130000,USD,US,M
2023,SE,FT,Data Analyst,100000,USD,US,M
